epoch,person,bicycle,car
0,0.00958,0.00000,0.06363
1,0.01599,0.00000,0.10884
2,0.02579,0.01224,0.17841
3,0.03868,0.01101,0.22147
4,0.05869,0.02186,0.32460
5,0.08178,0.02354,0.36197
6,0.06225,0.03562,0.30608
7,0.07962,0.01448,0.37704
8,0.00000,0.00000,0.00418
9,0.00000,0.00000,0.00446
10,0.00000,0.00000,0.00776
11,0.00000,0.00000,0.00633
12,0.00000,0.00000,0.00748
13,0.00000,0.00000,0.00931
14,0.00000,0.00000,0.00844
15,0.00000,0.00000,0.00952
16,0.00000,0.00000,0.00935
17,0.00000,0.00000,0.00882
18,0.00000,0.00000,0.00866
19,0.00000,0.00000,0.00934
20,0.00000,0.00000,0.00855
21,0.00000,0.00000,0.00786
22,0.00000,0.00000,0.00740
23,0.00000,0.00000,0.00951
24,0.00000,0.00000,0.01269
25,0.00000,0.00000,0.01103
26,0.00000,0.00000,0.01139
27,0.00000,0.00000,0.00954
28,0.00000,0.00000,0.00941
29,0.00000,0.00000,0.00808
30,0.00000,0.00000,0.00814
31,0.00000,0.00000,0.00948
32,0.00000,0.00000,0.00837
33,0.00000,0.00000,0.00890
34,0.00000,0.00000,0.00942
35,0.00000,0.00000,0.00982
36,0.00000,0.00000,0.00839
37,0.00000,0.00000,0.00926
38,0.00000,0.00000,0.00928
39,0.00000,0.00000,0.00943
40,0.00000,0.00000,0.01008
41,0.00000,0.00000,0.00929
42,0.00000,0.00000,0.01072
