epoch,P,R,mAP@0.5,mAP@0.5:0.95,val_loss
0,0.36710,0.07452,0.02440,0.00774,1.74858
1,0.71872,0.07776,0.04161,0.01407,1.68286
2,0.74296,0.09190,0.07215,0.02460,1.68945
3,0.09019,0.20657,0.09038,0.03351,1.55637
4,0.58508,0.09563,0.13505,0.06153,1.35157
5,0.17175,0.19830,0.15576,0.07210,1.29219
6,0.20105,0.16934,0.13465,0.05548,1.62906
7,0.26956,0.16240,0.15705,0.07147,1.49280
8,0.00198,0.04858,0.00139,0.00038,2.03724
9,0.00216,0.05294,0.00149,0.00044,2.01843
10,0.00248,0.06094,0.00259,0.00087,2.03425
11,0.00268,0.06587,0.00211,0.00065,2.05437
12,0.00323,0.07929,0.00249,0.00083,1.99248
13,0.00372,0.06943,0.00310,0.00106,1.97847
14,0.00346,0.07137,0.00281,0.00093,2.01963
15,0.00376,0.07396,0.00317,0.00105,2.00312
16,0.00394,0.07355,0.00312,0.00101,2.05315
17,0.00360,0.06005,0.00294,0.00093,2.01120
18,0.00354,0.05820,0.00289,0.00094,2.00932
19,0.00371,0.07283,0.00311,0.00106,2.02189
20,0.00339,0.05335,0.00285,0.00096,2.00194
21,0.00325,0.05108,0.00262,0.00087,2.04934
22,0.00505,0.02974,0.00247,0.00080,2.00947
23,0.00606,0.03128,0.00317,0.00117,2.03143
24,0.00647,0.03177,0.00423,0.00160,2.01946
25,0.00774,0.03233,0.00368,0.00119,2.04519
26,0.00747,0.03120,0.00380,0.00122,1.99994
27,0.00726,0.03031,0.00318,0.00099,2.01070
28,0.00732,0.02877,0.00314,0.00095,2.00918
29,0.00646,0.02700,0.00269,0.00084,1.98888
30,0.00677,0.02829,0.00271,0.00086,2.00852
31,0.00648,0.02708,0.00316,0.00119,1.99000
32,0.00670,0.02635,0.00279,0.00086,2.02345
33,0.00685,0.02861,0.00297,0.00090,2.01381
34,0.00701,0.02756,0.00314,0.00099,2.00357
35,0.00716,0.02813,0.00327,0.00096,2.01089
36,0.00699,0.02918,0.00280,0.00088,1.99321
37,0.00708,0.02958,0.00309,0.00100,2.02247
38,0.00768,0.03209,0.00309,0.00093,1.98192
39,0.00736,0.02894,0.00314,0.00095,2.02030
40,0.00732,0.02877,0.00336,0.00104,1.99703
41,0.00747,0.02934,0.00310,0.00093,1.99447
42,0.00810,0.03185,0.00357,0.00111,2.00523
