epoch,person,bicycle,car
0,0.00000,0.00000,0.00000
1,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00029
3,0.00000,0.00000,0.00172
4,0.00000,0.00000,0.00163
5,0.00000,0.00000,0.00629
6,0.00000,0.00000,0.01160
7,0.00000,0.00000,0.02339
8,0.00000,0.00000,0.00499
9,0.00000,0.00000,0.03319
10,0.00000,0.00000,0.02756
11,0.00000,0.00000,0.00621
12,0.00000,0.00000,0.02609
13,0.00000,0.00000,0.02909
14,0.00000,0.00000,0.01073
15,0.00000,0.00000,0.02921
16,0.00000,0.00000,0.03811
17,0.00000,0.00000,0.02759
