epoch,P,R,mAP@0.5,mAP@0.5:0.95,val_loss
0,0.00000,0.00000,0.00000,0.00000,2.47397
1,0.00000,0.00000,0.00000,0.00000,2.28627
2,0.00017,0.00505,0.00010,0.00004,2.36664
3,0.00100,0.03030,0.00057,0.00019,2.29307
4,0.00099,0.02525,0.00054,0.00009,2.07270
5,0.00286,0.08586,0.00210,0.00053,1.99673
6,0.00350,0.10606,0.00387,0.00112,1.97438
7,0.00631,0.10606,0.00780,0.00217,1.92182
8,0.00220,0.06566,0.00166,0.00055,1.88473
9,0.00436,0.12626,0.01106,0.00296,1.90635
10,0.00703,0.13636,0.00919,0.00246,1.88765
11,0.00263,0.07576,0.00207,0.00052,1.82167
12,0.00417,0.12626,0.00870,0.00300,1.82168
13,0.00629,0.17677,0.00970,0.00340,1.81359
14,0.00433,0.13131,0.00358,0.00108,1.85727
15,0.00523,0.09091,0.00974,0.00221,1.85515
16,0.33955,0.08586,0.01270,0.00287,1.86622
17,0.00882,0.12626,0.00920,0.00301,1.82314
