epoch,person,bicycle,car
0,0.04887,0.04421,0.22420
1,0.12119,0.06510,0.41528
2,0.15812,0.09924,0.47650
3,0.18066,0.08247,0.50671
4,0.26473,0.11288,0.51650
5,0.27947,0.11521,0.57554
6,0.34124,0.10729,0.59500
7,0.37984,0.12521,0.62960
8,0.39002,0.13498,0.63339
9,0.42595,0.17281,0.66401
10,0.44422,0.15737,0.67749
