epoch,P,R,mAP@0.5,mAP@0.5:0.95,val_loss
0,0.69790,0.07097,0.02257,0.00706,1.78548
1,0.71804,0.08366,0.03941,0.01430,1.68610
2,0.78287,0.08196,0.08783,0.03519,1.63462
3,0.79972,0.08103,0.09894,0.04082,1.60783
4,0.84226,0.09213,0.13185,0.05880,1.29964
5,0.61222,0.11093,0.15472,0.07247,1.28202
6,0.58491,0.13655,0.16756,0.07704,1.26508
7,0.53844,0.18061,0.18266,0.08677,1.21790
8,0.29210,0.20323,0.19190,0.09198,1.23530
9,0.28931,0.23801,0.20464,0.09510,1.28864
10,0.30214,0.19701,0.18926,0.08892,1.47886
11,0.37241,0.19008,0.18446,0.08592,1.86970
12,0.12193,0.06162,0.04595,0.01647,2.00617
13,0.02313,0.00404,0.00544,0.00268,2.05332
14,0.00264,0.06474,0.00316,0.00120,1.98774
15,0.00274,0.06725,0.00274,0.00082,2.02846
16,0.00271,0.06652,0.00265,0.00080,1.98389
17,0.00336,0.06684,0.00265,0.00080,2.03498
18,0.00355,0.06790,0.00254,0.00078,1.98232
19,0.00363,0.06854,0.00268,0.00080,2.01677
20,0.00358,0.06693,0.00276,0.00081,2.01041
